id,label
best,best
antidot,antidot
worth,worth
despit,despit
credit,credit
card,card
websit,websit
calm,calm
perfect,perfect
stay,stay
best,best
nice,nice
place,place
stay,stay
attent,attent
bobbi,bobbi
good,good
opposit,opposit
want,want
motel,motel
worst,worst
stuff,stuff
luxuri,luxuri
luxuri,luxuri
wast,wast
like,like
maha,maha
group,group
have,have
resort,resort
villa,villa
best,best
perfect,perfect
holiday,holiday
box,box
dream,dream
visit,visit
still,still
like,like
like,like
larg,larg
resort,resort
servic,servic
size,size
plenti,plenti
relax,relax
honeymoon,honeymoon
best,best
have,have
book,book
birthday,birthday
have,have
advisor,advisor
hotel,hotel
staff,staff
time,time
dream,dream
holiday,holiday
requir,requir
noth,noth
servic,servic
cant,cant
well,well
trip,trip
great,great
great,great
still,still
food,food
drink,drink
servic,servic
guest,guest
mind,mind
rush,rush
dubai,dubai
well,well
staff,staff
staff,staff
food,food
class,class
enough,enough
found,found
book,book
here,here
much,much
week,week
best,best
worth,worth
royal,royal
best,best
break,break
best,best
great,great
eleg,eleg
holiday,holiday
nice,nice
best,best
best,best
servic,servic
good,good
rave,rave
staff,staff
first,first
better,better
part,part
perfect,perfect
great,great
servic,servic
like,like
place,place
luxuri,luxuri
best,best
luxuri,luxuri
have,have
oasi,oasi
be,be
star,star
perfect,perfect
busi,busi
great,great
negat,negat
great,great
option,option
place,place
review,review
even,even
gunshot,gunshot
room,room
vega,vega
kid,kid
okay,okay
good,good
sleep,sleep
littl,littl
bug,bug
great,great
internet,internet
expect,expect
place,place
stay,stay
better,better
manag,manag
room,room
best,best
strip,strip
more,more
stay,stay
locat,locat
over,over
stay,stay
best,best
price,price
worst,worst
have,have
stay,stay
stay,stay
best,best
apart,apart
high,high
qualiti,qualiti
apart,apart
locat,locat
lice,lice
fraud,fraud
credit,credit
even,even
down,down
need,need
stay,stay
park,park
experi,experi
internet,internet
have,have
have,have
high,high
good,good
weekend,weekend
have,have
find,find
first,first
real,real
night,night
here,here
coffe,coffe
like,like
safeti,safeti
cost,cost
littl,littl
center,center
haven,haven
thing,thing
barri,barri
british,british
high,high
qualiti,qualiti
well,well
love,love
stay,stay
spectacular,spectacular
place,place
down,down
trade,trade
budget,budget
stay,stay
least,least
there,there
unknown,unknown
noth,noth
doe,doe
hostel,hostel
sale,sale
worst,worst
over,over
